diet,temperature,treatment,sex,animal_weight,gonad_weight,GSI,L_star,a_star,b_star
formulated,warm,fw,female,37.573,10.567,28.12391877145823,66.36666666666667,17.133333333333336,-12.333333333333334
formulated,warm,fw,female,25.646,7.07,27.567651875536146,69.8,9.666666666666666,5.366666666666667
formulated,warm,fw,female,29.864,9.05,30.304045004018214,67.26666666666668,14.766666666666666,0.4333333333333343
formulated,warm,fw,female,33.105,5.473,16.53224588430751,65.06666666666666,7.3,22.233333333333334
formulated,warm,fw,female,29.95,6.062,20.240400667779635,61.63333333333333,12,27.2
formulated,warm,fw,female,23.689,6.506,27.464223901388827,62.76666666666667,5.699999999999999,19.3
formulated,warm,fw,female,26.699,6.296,23.581407543353684,59.63333333333333,7.633333333333333,21.7
formulated,warm,fw,female,25.609,6.462,25.233316412198835,62.4,14.233333333333334,27.366666666666664
formulated,warm,fw,female,22.297,4.606,20.65748755437951,60.06666666666667,12.333333333333334,6
formulated,warm,fw,female,17.642,4.445,25.195556059403696,62.63333333333333,14.4,6.333333333333333
formulated,warm,fw,female,32.309,8.28,25.627534123618805,59.699999999999996,19.133333333333333,-4.3
formulated,warm,fw,female,30.403,9.307,30.612110646975633,54.5,18.96666666666667,-5.733333333333333
kelp,ambient,ka,female,21.933,0.476,2.1702457484156294,42.36666666666667,18.599999999999998,29.933333333333337
kelp,ambient,ka,female,28.274,2.137,7.558180660677655,44.36666666666667,35.06666666666667,41.63333333333333
kelp,ambient,ka,female,19.684,0.737,3.7441576915261123,29.866666666666664,30.2,33.266666666666666
kelp,ambient,ka,female,21.896,0.401,1.8313847278041653,52.6,12.733333333333334,10.233333333333333
kelp,ambient,ka,female,22,0.519,2.3590909090909093,40.1,34.199999999999996,-15.1
kelp,ambient,ka,female,22.148,0.207,0.9346216362651255,40.76666666666667,21.666666666666668,12.6
kelp,ambient,ka,male,29.14,0.924,3.1708991077556625,51.633333333333326,16.8,31.133333333333336
kelp,ambient,ka,male,26.208,0.956,3.647741147741148,44.13333333333333,23.96666666666667,27.366666666666664
kelp,ambient,ka,male,26.585,0.612,2.3020500282113976,59.6,9.666666666666666,12.299999999999999
kelp,warm,kw,female,20.651,0.446,2.1597017093603217,48.6,15.766666666666666,33.93333333333334
kelp,warm,kw,female,24.837,0.692,2.7861658010226673,37.03333333333333,36.766666666666666,-61.23333333333334
kelp,warm,kw,female,17.825,0.323,1.8120617110799442,33.766666666666666,19.266666666666666,15.766666666666666
kelp,warm,kw,female,22.415,0.2,0.8922596475574394,38.03333333333333,15.033333333333333,16.76666666666667
kelp,warm,kw,female,20.708,0.382,1.844697701371451,56.06666666666666,10.533333333333333,15.433333333333332
kelp,warm,kw,female,17.402,0.695,3.993793816802666,42.53333333333334,35.733333333333334,43.93333333333334
kelp,warm,kw,female,23.819,1.71,7.17914270120492,38.63333333333333,31,32.56666666666666
kelp,warm,kw,male,19.72,0.614,3.1135902636916835,57.1,10.866666666666665,18.466666666666665
kelp,warm,kw,male,25.055,0.94,3.7517461584514065,42.866666666666674,35.733333333333334,43.93333333333334
kelp,warm,kw,male,25.332,1.86,7.3424917100900045,59.73333333333333,8.633333333333333,25.566666666666666
mixed,ambient,ma,female,23.181,3.109,13.41184590828696,51.4,29.400000000000002,-23
mixed,ambient,ma,female,19.405,2.159,11.125998454006698,47.4,20.166666666666668,34.63333333333333
mixed,ambient,ma,female,18.904,2.404,12.71688531527719,44.6,27.566666666666666,-31.299999999999997
mixed,ambient,ma,male,20.771,1.546,7.443069664435992,45.166666666666664,27.7,-25.733333333333334
mixed,ambient,ma,female,27.717,5.369,19.37078327380308,48.26666666666667,36.2,-30.400000000000002
mixed,ambient,ma,female,28.321,6.357,22.446241305038665,49.833333333333336,25.266666666666666,46.4
mixed,ambient,ma,female,27.249,5.049,18.529120334691186,52.6,35.53333333333334,-17.266666666666666
mixed,ambient,ma,male,31.611,6.595,20.862990731074625,56.46666666666667,23.3,-15.266666666666666
mixed,ambient,ma,female,14.179,1.958,13.809154383242822,53.6,26.366666666666664,-12.633333333333333
mixed,ambient,ma,female,23.791,3.615,15.194821571182379,52.333333333333336,26.100000000000005,-4.066666666666666
mixed,ambient,ma,female,19.703,4.051,20.560320763335536,56.06666666666667,19.46666666666667,41.06666666666666
mixed,ambient,ma,female,30.932,6.437,20.810164231216866,60.53333333333333,14.666666666666666,33.06666666666666
mixed,ambient,ma,female,33.984,8.442,24.841101694915256,49.03333333333333,25.066666666666666,30.866666666666664
mixed,ambient,ma,female,27.822,4.698,16.885917619150316,47.800000000000004,26.26666666666667,30.099999999999998
mixed,ambient,ma,female,28.604,6.52,22.794014823101662,50.43333333333334,21.633333333333336,35.1
mixed,ambient,ma,male,32.603,5.87,18.004478115510842,60,19.400000000000002,8.333333333333334
mixed,ambient,ma,male,21.869,4.173,19.081805295166674,68.8,9.1,31.900000000000002
mixed,ambient,ma,male,40.609,9.922,24.433007461400184,66.6,7.966666666666668,25.133333333333336
mixed,ambient,ma,male,30.284,7.139,23.573504160612867,61.03333333333334,12.133333333333335,24.933333333333337
mixed,ambient,ma,male,30.134,6.718,22.29375456295215,57.800000000000004,15.200000000000001,33.36666666666667
mixed,warm,mw,female,26.062,2.865,10.993016652597651,41.8,25.333333333333332,34.66666666666667
mixed,warm,mw,male,22.197,2.585,11.645717889804928,51,16.233333333333334,31.766666666666666
mixed,warm,mw,male,31.714,2.335,7.362678943053541,31.5,12.200000000000001,19.233333333333334
mixed,warm,mw,male,25.628,1.825,7.121117527704074,65.03333333333335,22.7,-4.599999999999998
mixed,warm,mw,male,29.187,5.582,19.124952889985266,51.56666666666666,9.9,18.466666666666665
mixed,warm,mw,male,28.926,4.612,15.944133305676555,64.30000000000001,23.63333333333333,-22.333333333333332
mixed,warm,mw,male,24.439,4.165,17.042432178076027,60.699999999999996,20.433333333333334,-15.733333333333333
mixed,warm,mw,male,22.921,4.031,17.586492735919027,58.43333333333334,14.133333333333333,30.3
mixed,warm,mw,female,33.409,7.912,23.682241312221258,63.166666666666664,14,29.633333333333336
mixed,warm,mw,female,27.891,5.208,18.67269011509089,52.333333333333336,23.8,36.43333333333334
mixed,warm,mw,female,28.992,6.199,21.381760485651213,54.53333333333333,15.4,34.4
mixed,warm,mw,female,19.234,3.804,19.777477383799518,55.36666666666667,20.133333333333333,44.86666666666667
mixed,warm,mw,female,35.334,6.636,18.78077772117507,56.199999999999996,24.2,33.766666666666666
mixed,warm,mw,female,30.69,7.099,23.13131313131313,60.666666666666664,17.866666666666667,17.26666666666667
mixed,warm,mw,female,26.339,5,18.98325676753104,55.73333333333333,32.699999999999996,9.133333333333333
mixed,warm,mw,female,34.821,10.847,31.150742368111196,51.63333333333333,28.833333333333332,-5.833333333333333
mixed,warm,mw,female,30.347,5.33,17.56351533924276,50.133333333333326,28.2,1.8333333333333333
mixed,warm,mw,male,32.725,6.957,21.258976317799846,54.76666666666667,13.466666666666667,30.400000000000002
mixed,warm,mw,male,27.232,5.564,20.43184488836663,56.833333333333336,16.3,30.733333333333334
mixed,warm,mw,male,29.88,6.7,22.42302543507363,61.599999999999994,12.266666666666667,25.566666666666666
ulva,ambient,ua,female,19.716,1.212,6.1472915398660986,36.23333333333333,22.8,30.5
ulva,ambient,ua,female,23.132,0.9,3.8907141621995502,37.56666666666666,25.03333333333333,33.76666666666667
ulva,ambient,ua,female,18.894,1.572,8.320101619561767,43.366666666666674,32.199999999999996,45.666666666666664
ulva,ambient,ua,male,19.588,0.799,4.0790279763120285,37,19.833333333333332,-30.066666666666666
ulva,ambient,ua,female,30.436,3.26,10.711000131423313,46.26666666666667,44.366666666666674,-26.799999999999997
ulva,ambient,ua,female,24.886,2.144,8.61528570280479,43.46666666666667,30.46666666666667,33.43333333333333
ulva,ambient,ua,male,26.865,2.445,9.10106085985483,65.56666666666666,11.666666666666666,23.3
ulva,ambient,ua,male,32.543,2.201,6.763359247764497,49.03333333333334,20.700000000000003,-21.333333333333332
ulva,ambient,ua,female,32.733,4.493,13.726209024531821,35.16666666666667,34.5,35.5
ulva,ambient,ua,female,33.402,4.32,12.93335728399497,34.599999999999994,31.26666666666667,33.666666666666664
ulva,ambient,ua,female,31.455,4.589,14.589095533301544,41.96666666666667,38.43333333333333,5.933333333333334
ulva,ambient,ua,female,14.295,1.001,7.002448408534452,63.5,20.866666666666667,12.166666666666666
ulva,ambient,ua,female,19.967,1.396,6.991536034456853,44.333333333333336,36.23333333333333,2.1
ulva,ambient,ua,female,22.711,2.191,9.64730747215006,45.93333333333334,24.53333333333333,-26.5
ulva,ambient,ua,female,25.664,4.185,16.306889027431417,41.36666666666667,31.866666666666664,32.56666666666667
ulva,ambient,ua,female,23.254,2.118,9.108110432613744,42.5,30.233333333333334,-9.166666666666666
ulva,ambient,ua,male,32.897,2.696,8.195276164999848,56.5,6.833333333333333,9.933333333333334
ulva,ambient,ua,male,31.729,3.966,12.499606038639731,59.300000000000004,20.599999999999998,11.6
ulva,ambient,ua,male,31.544,4.792,15.191478569617042,69.13333333333334,14.966666666666669,0.8666666666666666
ulva,ambient,ua,male,43.187,5.44,12.596383170861603,63.800000000000004,19.333333333333332,12.466666666666667
ulva,warm,uw,male,22.1,0.374,1.6923076923076923,55.63333333333333,22.166666666666668,41.5
ulva,warm,uw,male,24.267,0.835,3.4408868010054805,42.86666666666667,17.433333333333334,23.866666666666664
ulva,warm,uw,male,24.034,1.731,7.20229674627611,49.70000000000001,25.466666666666665,-11.799999999999999
ulva,warm,uw,male,23.977,0.705,2.9403178045627056,38.699999999999996,26.400000000000002,-21.333333333333332
ulva,warm,uw,female,32.903,3.206,9.743792359359329,41.5,24.900000000000002,24.599999999999998
ulva,warm,uw,female,23.207,2.52,10.858792605679321,45.56666666666666,44.833333333333336,-38.63333333333333
ulva,warm,uw,female,33.134,2.94,8.873060904207158,46.9,38.1,-21.133333333333333
ulva,warm,uw,male,22.335,2.876,12.876650996194314,55.93333333333334,17.766666666666666,11.399999999999999
ulva,warm,uw,female,37.282,4.437,11.901185558714664,44.26666666666667,40.166666666666664,-14.166666666666666
ulva,warm,uw,female,26.417,3.58,13.551879471552407,38.166666666666664,34.46666666666667,34.53333333333333
ulva,warm,uw,female,37.37,5.463,14.61867808402462,40.79999999999999,33.13333333333333,40.93333333333333
ulva,warm,uw,female,25.236,2.331,9.236804564907274,40.23333333333333,29.533333333333335,37.666666666666664
ulva,warm,uw,female,33.167,4.844,14.604878342931226,35.63333333333334,24.766666666666666,33.300000000000004
ulva,warm,uw,female,28.47,3.911,13.737267298911135,67.76666666666667,13.299999999999999,22
ulva,warm,uw,female,26.93,3.528,13.100631266245824,39.93333333333334,34.26666666666666,39.6
ulva,warm,uw,male,30.386,4.211,13.858355821760021,59.5,16.966666666666665,11.4
ulva,warm,uw,male,26.14,2.612,9.992348890589135,46.93333333333334,12.466666666666669,16.133333333333333
ulva,warm,uw,male,26.513,3.025,11.409497227775054,63.46666666666666,17.03333333333333,31.766666666666666
ulva,warm,uw,male,23.607,3.222,13.648494090735799,60.733333333333334,15.233333333333334,24.933333333333334
ulva,warm,uw,male,40.856,5.124,12.54160955551204,56.23333333333333,12.933333333333332,27.733333333333334
